sample	dataset
HDZ-063-S1	culi
HDZ-064-S2	culi
HDZ-004-S3	warble
HDZ-065-S4	culi
HDZ-066-S5	culi
HDZ-030-S6	warble
HDZ-021-S7	culi
HDZ-013-S8	culi
HDZ-067-S9	warble
HDZ-011-S10	culi
HDZ-005-S11	warble
HDZ-020-S12	culi
HDZ-019-S13	warble
HDZ-029-S14	unknown
HDZ-026-S15	culi
HDZ-028-S16	culi
HDZ-025-S17	warble
HDZ-014-S18	culi
HDZ-024-S19	culi
HDZ-023-S20	warble
HDZ-016-S21	culi
HDZ-055-S22	unknown
HDZ-010-S23	culi
HDZ-362-S208	culi
HDZ-363-S209	culi
HDZ-364-S210	culi
HDZ-365-S211	culi
HDZ-367-S213	warble
HDZ-369-S215	warble
HDZ-370-S216	culi
HDZ-371-S217	warble
HDZ-372-S218	culi
HDZ-373-S219	culi
HDZ-416-S220	warble
HDZ-417-S221	warble
HDZ-421-S222	unknown
HDZ-423-S223	warble
HDZ-424-S224	warble
HDZ-425-S225	warble
HDZ-426-S226	culi
HDZ-431-S227	warble
HDZ-432-S228	warble
HDZ-433-S229	culi
HDZ-434-S230	culi
HDZ-001-S231	warble
HDZ-050-S232	warble
HDZ-057-S233	culi
HDZ-088-S234	culi
HDZ-090-S235	warble
HDZ-091-S236	culi
HDZ-092-S237	warble
HDZ-098-S238	culi
HDZ-103-S239	warble
HDZ-109-S240	warble
HDZ-157-S241	warble
HDZ-160-S242	warble
HDZ-162-S243	warble
HDZ-169-S244	culi
HDZ-170-S245	warble
HDZ-173-S246	warble
HDZ-174-S247	culi
HDZ-184-S248	culi
HDZ-204-S249	culi
HDZ-212-S250	warble
HDZ-214-S251	warble
HDZ-339-S252	culi
HDZ-437-S253	culi
HDZ-266-S254	culi
HDZ-267-S255	warble
HDZ-316-S256	warble
HDZ-335-S257	warble
HDZ-345-S258	culi
HDZ-348-S259	culi
HDZ-383-S260	culi
HDZ-384-S261	culi
HDZ-385-S262	warble
HDZ-386-S263	culi
HDZ-387-S264	warble
HDZ-388-S265	culi
HDZ-389-S266	culi
HDZ-390-S267	culi
HDZ-391-S268	warble
HDZ-392-S269	culi
HDZ-393-S270	warble
HDZ-394-S271	culi
HDZ-395-S272	culi
HDZ-396-S273	culi
HDZ-397-S274	unknown
HDZ-438-S275	culi
HDZ-439-S276	warble
HDZ-230-S277	culi
HDZ-231-S278	culi
HDZ-232-S279	warble
HDZ-233-S280	culi
HDZ-234-S281	warble
HDZ-235-S282	culi
HDZ-236-S283	culi
HDZ-374-S284	warble
HDZ-375-S285	culi
HDZ-376-S286	warble
HDZ-377-S287	culi
HDZ-378-S288	warble
HDZ-379-S289	warble
HDZ-380-S290	warble
HDZ-422-S291	warble
HDZ-430-S292	culi
HDZ-440-S293	warble
HDZ-442-S294	culi
HDZ-443-S295	warble
HDZ-444-S296	culi
HDZ-445-S297	culi
HDZ-448-S298	warble
HDZ-449-S299	warble
HDZ-095-S300	warble
HDZ-158-S301	warble
HDZ-159-S302	warble
HDZ-171-S303	warble
HDZ-172-S304	warble
HDZ-237-S305	warble
HDZ-238-S306	culi
HDZ-239-S307	warble
HDZ-268-S308	warble
HDZ-269-S309	culi
HDZ-270-S310	culi
HDZ-271-S311	culi
HDZ-272-S312	culi
HDZ-273-S313	culi
HDZ-274-S314	culi
HDZ-329-S315	warble
HDZ-344-S316	warble
HDZ-346-S317	warble
HDZ-347-S318	culi
HDZ-412-S319	warble
HDZ-413-S320	warble
HDZ-414-S321	warble
HDZ-450-S322	culi
HDZ-330-S323	culi
HDZ-331-S324	warble
HDZ-334-S325	warble
HDZ-340-S326	warble
